Description,Currency,Container-type,Container size,Unit,Rate/unit
Terminal Handling Service - Destination,EUR,standard,40HC,PER_CONTAINER,237.0
Documentation fee - Destination,EUR,standard,45HC,PER_BL,30.0
Terminal Handling Service - Destination,EUR,standard,45HC,PER_CONTAINER,237.0

port,SEHEL1
Documentation fee - Destination,EUR,standard,20,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,20,PER_CONTAINER,0.0
Import Service,EUR,standard,20,PER_CONTAINER,164.77
Documentation fee - Destination,EUR,standard,40,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,40,PER_CONTAINER,0.0
Import Service,EUR,standard,40,PER_CONTAINER,174.51
Documentation fee - Destination,EUR,standard,40HC,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,40HC,PER_CONTAINER,0.0
Import Service,EUR,standard,40HC,PER_CONTAINER,174.51
Documentation fee - Destination,EUR,standard,45HC,PER_BL,50.0
Terminal Handling Service - Destination,EUR,standard,45HC,PER_CONTAINER,0.0
Import Service,EUR,standard,45HC,PER_CONTAINER,174.51

port,LTKLJ1
Terminal Handling Service - Destination,EUR,standard,20,PER_CONTAINER,91 
Import Service,EUR,standard,20,PER_CONTAINER,95 
Terminal Handling Service - Destination,EUR,standard,40,PER_CONTAINER,91 
Import Service,EUR,standard,40,PER_CONTAINER,95 
Terminal Handling Service - Destination,EUR,standard,40HC,PER_CONTAINER,91 
Import Service,EUR,standard,40HC,PER_CONTAINER,95 
Terminal Handling Service - Destination,EUR,standard,45HC,PER_CONTAINER,91 
Import Service,EUR,standard,45HC,PER_CONTAINER,95 

port,FRLEH1
Documentation fee - Destination,EUR,standard,20,PER_BL,25.0
Terminal Handling Service - Destination,EUR,standard,20,PER_CONTAINER,205.0
Import Service,EUR,standard,20,PER_CONTAINER,0.0
Documentation fee - Destination,EUR,standard,40,PER_BL,25.0
Terminal Handling Service - Destination,EUR,standard,40,PER_CONTAINER,205.0
Import Service,EUR,standard,40,PER_CONTAINER,0.0
