Description,Currency,Unit,Rate/unit,Minimum

BILL OF LADING (per shipment),INR,PER_SHIPMENT,0.0
THC ,INR,PER_W/M,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_SHIPMENT,0.0

Port /CFS,THBKK1
HANDLING FEE,INR,PER_SHIPMENT,0.0
CUSTOM CLEARENCE,INR,PER_SHIPMENT,0.0
AMS / AES Fee (per shipment),INR,PER_SHIPMENT,0.0
BILL OF LADING (per shipment),INR,PER_SHIPMENT,0.0
THC ,INR,PER_W/M,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_SHIPMENT,0.0

Port /CFS,GBTIL1
HANDLING FEE,INR,PER_SHIPMENT,0.0
CUSTOM CLEARENCE,INR,PER_SHIPMENT,0.0
AMS / AES Fee (per shipment),INR,PER_SHIPMENT,0.0
BILL OF LADING (per shipment),INR,PER_SHIPMENT,0.0
THC ,INR,PER_W/M,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_SHIPMENT,0.0

Port /CFS,AEDXB1
HANDLING FEE,INR,PER_SHIPMENT,0.0
CUSTOM CLEARENCE,INR,PER_SHIPMENT,0.0
AMS / AES Fee (per shipment),INR,PER_SHIPMENT,0.0
BILL OF LADING (per shipment),INR,PER_SHIPMENT,0.0
THC ,INR,PER_W/M,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_SHIPMENT,0.0

Port /CFS,BEANR1
HANDLING FEE,INR,PER_SHIPMENT,0.0
CUSTOM CLEARENCE,INR,PER_SHIPMENT,0.0
AMS / AES Fee (per shipment),INR,PER_SHIPMENT,0.0
BILL OF LADING (per shipment),INR,PER_SHIPMENT,0.0
THC ,INR,PER_W/M,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_SHIPMENT,0.0

Port /CFS,ESBCN1
HANDLING FEE,INR,PER_SHIPMENT,0.0
CUSTOM CLEARENCE,INR,PER_SHIPMENT,0.0
AMS / AES Fee (per shipment),INR,PER_SHIPMENT,0.0
BILL OF LADING (per shipment),INR,PER_SHIPMENT,0.0
THC ,INR,PER_W/M,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_W/M,0.0,0.0
OTHER CHARGES,INR,PER_SHIPMENT,0.0

Port /CFS,USNYC1
